wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,Au,au,1,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
2,commencement,commencement,1,N,N,,C/V\.C/V\.C/e\.'C/V\,NOUN,commencement,8
3,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
4,ma,ma,1,Det,Det,mon,C/V\,DET,mon,10
5,matiere,matiere,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,matière,8
6,",",",",1,Pnc,Pnc,,,PUNCT,",",9
7,je,je,1,Prn,Prn,je,C/(e)\,PRON,je,10
8,pry,pry,1,Vfin,Vfin,prier,C/V\,VERB,prier,10
9,en,en,1,Pre,Pre,en,/V\,ADP,en,10
10,mon,mon,1,Det,Det,mon,C/V\,DET,mon,10
11,prologue,prologue,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,prologue,9
12,a,a,1,Pre,Pre,à,/V\,ADP,à,10
13,tous,tous,1,QIs,QIs,tout,C/V\,DET,tout,10
14,ceulx,ceulx,1,Dem,Dem,cil,C/V\,PRON,cil,10
15,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
16,mon,mon,1,Det,Det,mon,C/V\,DET,mon,10
17,livre,livre,1,N,N,,'C/V\.C/(e)\,NOUN,livre,3
18,orront,orront,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
19,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
20,",",",",1,Pnc,Pnc,,,PUNCT,",",9
21,se,se,1,Sub,Sub,si3,C/(e)\,SCONJ,si,10
22,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
23,di,di,1,Vfin,Vfin,dire,C/V\,VERB,dire,10
24,aucune,aucune,1,QIs,QIs,aucun,/V\.'C/V\.C/(e)\,DET,aucun,10
25,chose,chose,1,N,N,,'C/V\.C/(e)\,NOUN,chose,8
26,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
27,ne,ne,1,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
28,leur,leur,1,Prn,Prn$$,leur,C/V\,PRON,leur,10
29,viengne,viengne,1,Vfin,Vfin,venir,'C/V\.C/(e)\,VERB,venir,10
30,a,a,1,Pre,Pre,à,/V\,ADP,à,10
31,plaisir,plaisir,1,N,N,,C/V\.'C/V\,PROPN|NOUN,plaisir,8
32,",",",",1,Pnc,Pnc,,,PUNCT,",",9
33,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
34,ilz,ilz,1,Prn,Prn$,il,/V\,PRON,il,10
35,ne,ne,1,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
36,m',m',1,Prn,Prn$$,me,C/\,PRON,me,10
37,en,en,1,Prn,Prn$$,en2,/V\,PRON,en,10
38,vueillent,vueillent,1,Vfin,Vfin,vouloir,'C/V\.C/e\,VERB,vouloir,10
39,mie,mie,1,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10
40,blasmer,blasmer,1,Vinf,Vinf,,C/V\.'C/V\,VERB,blâmer,9
41,",",",",1,Pnc,Pnc,,,PUNCT,",",9
42,car,car,1,Crd,Crd,car,C/V\,CCONJ,car,10
43,",",",",1,Pnc,Pnc,,,PUNCT,",",9
44,par,par,1,Pre,Pre,par,C/V\,ADP,par,10
45,aventure,aventure,1,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8
46,",",",",1,Pnc,Pnc,,,PUNCT,",",9
47,ce,ce,1,Prn,Prn,ce,C/(e)\,PRON,ce,10
48,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
49,ne,ne,1,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
50,plaira,plaira,1,Vfin,Vfin,plaire,C/V\.'C/V\,VERB,plaire,10
51,a,a,1,Pre,Pre,à,/V\,ADP,à,10
52,l',l',1,Det,Det,le,C/\,DET,le,10
53,un,un,1,QIs,QIs,un,/V\,PRON,un,10
54,souffira,souffira,1,Vfin,Vfin,suffire,C/V\.C/V\.'C/V\,VERB,suffire,10
55,a,a,1,Pre,Pre,à,/V\,ADP,à,10
56,l',l',1,Det,Det,le,C/\,DET,le,10
57,autre,autre,1,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
58,;,;,1,Pnc,Pnc,,,PUNCT,;,9
59,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
60,si,si,1,Adv,Adv,si4,C/V\,ADV,si,10
61,di,di,1,Vfin,Vfin,dire,C/V\,VERB,dire,10
62,en,en,1,Pre,Pre,en,/V\,ADP,en,10
63,verité,verité,1,N,N,,C/V\.C/V\.'C/V\,NOUN,vérité,8
64,qu',qu',1,Sub,Sub,que,C/\,SCONJ,que,10
65,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
66,ne,ne,1,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
67,fu,fu,1,Vfin,Vfin,être,C/V\,VERB,être,10
68,oncques,oncques,1,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10
69,nulz,nulz,1,QIs,QIs,nul,C/V\,PRON,nul,10
70,",",",",1,Pnc,Pnc,,,PUNCT,",",9
71,tant,tant,1,QIs,QIs,tant,C/V\,ADV,tant,10
72,fust,fust,1,Vfin,Vfin,être,C/V\,VERB,être,10
73,sages,sages,1,Adj,Adj,sage,'C/V\.C/e\,ADJ,sage,10
74,ne,ne,1,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
75,jamais,jamais,1,Adv,Adv,jamais,C/V\.'C/V\,ADV,jamais,10
76,ne,ne,1,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
77,sera,sera,1,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
78,",",",",1,Pnc,Pnc,,,PUNCT,",",9
79,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
80,puist,puist,1,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
81,dire,dire,1,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10
82,a,a,1,Pre,Pre,à,/V\,ADP,à,10
83,la,la,1,Det,Det,le,C/V\,DET,le,10
84,volenté,volenté,1,N,N,,C/V\.C/V\.'C/V\,NOUN,volonté,8
85,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
86,tous,tous,1,QIs,QIs,tout,C/V\,PRON,tout,10
87,.,.,1,Pnc,Pnc,,,PUNCT,.,9
88,Et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
89,nonpourquant,nonpourquant,1,Adv,Adv,nonpourquant,C/V\.C/V\.'C/V\,ADV,nonpourquant,10
90,",",",",1,Pnc,Pnc,,,PUNCT,",",9
91,se,se,1,Sub,Sub,si3,C/(e)\,SCONJ,si,10
92,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
93,souffist,souffist,1,Vfin,Vfin,suffire,C/V\.'C/V\,VERB,suffire,10
94,a,a,1,Pre,Pre,à,/V\,ADP,à,10
95,cellui,cellui,1,Dem,Dem,cil,C/V\.'C/V\,PRON,cil,10
96,pour,pour,1,Pre,Pre,pour,C/V\,ADP,pour,10
97,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
98,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
99,l',l',1,Prn,Prn$$,le,C/\,PRON,le,10
100,ay,ay,1,Vfin,Vfin,avoir,/V\,VERB,avoir,10
101,fait,fait,1,Vpp,Vpp,faire,C/V\,VERB,faire,10
102,",",",",1,Pnc,Pnc,,,PUNCT,",",9
103,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
104,m',m',1,Prn,Prn$$,me,C/\,PRON,me,10
105,en,en,1,Prn,Prn$$,en2,/V\,PRON,en,10
106,tien,tien,1,Vfin,Vfin,tenir,C/V\,VERB,tenir,10
107,bien,bien,1,Adv,Adv,bien,C/V\,ADV,bien,10
108,a,a,1,Pre,Pre,à,/V\,ADP,à,10
109,paiez,paiez,1,Vpp,Vpp,,C/V\.'C/V\,VERB,payer,8
110,",",",",1,Pnc,Pnc,,,PUNCT,",",9
111,car,car,1,Crd,Crd,car,C/V\,CCONJ,car,10
112,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
113,l',l',1,Prn,Prn$$,le,C/\,PRON,le,10
114,ay,ay,1,Vfin,Vfin,avoir,/V\,VERB,avoir,10
115,fait,fait,1,Vpp,Vpp,faire,C/V\,VERB,faire,10
116,a,a,1,Pre,Pre,à,/V\,ADP,à,10
117,la,la,1,Det,Det,le,C/V\,DET,le,10
118,priere,priere,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,prière,8
119,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
120,requeste,requeste,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,requête,9
121,d',d',1,Pre,Pre,de,C/\,ADP,de,10
122,un,un,1,QIs,QIs,un,/V\,DET,un,10
123,mien,mien,1,Adj,Adj,mon,C/V\,ADJ,mon,10
124,seigneur,seigneur,1,N,N,,C/V\.'C/V\,NOUN,seigneur,8
125,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
126,ami,ami,1,N,N,,/V\.'C/V\,NOUN,ami,8
127,pour,pour,1,Pre,Pre,pour,C/V\,ADP,pour,10
128,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
129,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
130,feroye,feroye,1,Vfin,Vfin,faire,C/V\.'C/V\./(e)\,VERB,faire,10
131,grandement,grandement,1,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,grandement,9
132,",",",",1,Pnc,Pnc,,,PUNCT,",",9
133,se,se,1,Sub,Sub,si3,C/(e)\,SCONJ,si,10
134,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
135,pouoye,pouoye,1,Vfin,Vfin,pouvoir2,C/V\.'C/V\./(e)\,VERB,pouvoir,10
136,ne,ne,1,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
137,savoye,savoye,1,Vfin,Vfin,savoir,C/V\.'C/V\./(e)\,VERB,savoir,10
138,;,;,1,Pnc,Pnc,,,PUNCT,;,9
139,sy,sy,1,Adv,Adv,si4,C/V\,ADV,si,10
140,luy,luy,1,Prn,Prn$$,lui,C/V\,PRON,lui,10
141,pry,pry,1,Vfin,Vfin,prier,C/V\,VERB,prier,10
142,pour,pour,1,Pre,Pre,pour,C/V\,ADP,pour,10
143,Dieu,dieu,1,N,N,,C/V\,PROPN,Dieu,3
144,qu',qu',1,Sub,Sub,que,C/\,SCONJ,que,10
145,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
146,lui,lui,1,Prn,Prn$$,lui,C/V\,PRON,lui,10
147,vueille,vueille,1,Vfin,Vfin,vouloir,'C/V\.C/(e)\,VERB,vouloir,10
148,souffire,souffire,1,Vinf,Vinf,suffire,C/V\.'C/V\.C/(e)\,VERB,suffire,10
149,ce,ce,1,Prn,Prn,ce,C/(e)\,PRON,ce,10
150,que,que,1,Qux,Qux,que,C/(e)\,PRON,que,10
151,j',j',1,Prn,Prn$,je,C/\,PRON,je,10
152,en,en,1,Prn,Prn$$,en2,/V\,PRON,en,10
153,feray,feray,1,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10
154,",",",",1,Pnc,Pnc,,,PUNCT,",",9
155,car,car,1,Crd,Crd,car,C/V\,CCONJ,car,10
156,la,la,1,Det,Det,le,C/V\,DET,le,10
157,matiere,matiere,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,matière,8
158,est,est,1,Vfin,Vfin,être,/V\,VERB,être,10
159,delitable,delitable,1,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,délitable,3
160,a,a,1,Pre,Pre,à,/V\,ADP,à,10
161,oÿr,oÿr,1,Vinf,Vinf,ouïr,/V\.'C/V\,VERB,ouïr,10
162,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
163,proufitable,proufitable,1,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,profitable,9
164,a,a,1,Pre,Pre,à,/V\,ADP,à,10
165,retenir,retenir,1,Vinf,Vinf,retenir,C/V\.C/e\.'C/V\,VERB,retenir,10
166,",",",",1,Pnc,Pnc,,,PUNCT,",",9
167,sy,sy,1,Adv,Adv,si4,C/V\,ADV,si,10
168,ay,ay,1,Vfin,Vfin,avoir,/V\,VERB,avoir,10
169,grant,grant,1,Adj,Adj,grand,C/V\,ADJ,grand,10
170,merveille,merveille,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,merveille,8
171,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
172,li,li,1,Det,Det,le,C/V\,DET,le,10
173,bon,bon,1,Adj,Adj,bon,C/V\,ADJ,bon,10
174,trouveour,trouveour,1,N,N,,C/V\.C/(V)\.'/V\,NOUN,trouveur,9
175,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
176,jadiz,jadiz,1,Adv,Adv,jadis,C/V\.'C/V\,ADV,jadis,10
177,furent,furent,1,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
178,n',n',1,Neg,Neg$$,ne,C/\,ADV,ne,10
179,en,en,1,Prn,Prn$$,en2,/V\,PRON,en,10
180,ont,ont,1,Vfin,Vfin,avoir,/V\,VERB,avoir,10
181,fait,fait,1,Vpp,Vpp,faire,C/V\,VERB,faire,10
182,plus,plus,1,Adv,Adv,plus,C/V\,ADV,plus,10
183,grant,grant,1,Adj,Adj,grand,C/V\,ADJ,grand,10
184,mencion,mencion,1,N,N,,C/V\.C/{V}\.'/V\,NOUN,mention,3
185,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
186,mise,mise,1,Vpp,Vpp,mettre,'C/V\.C/(e)\,VERB,mettre,10
187,en,en,1,Pre,Pre,en,/V\,ADP,en,10
188,plus,plus,1,Adv,Adv,plus,C/V\,ADV,plus,10
189,grant,grant,1,Adj,Adj,grand,C/V\,ADJ,grand,10
190,auctorité,auctorité,1,N,N,,/V\.C/V\.C/V\.'C/V\,NOUN,autorité,8
191,.,.,1,Pnc,Pnc,,,PUNCT,.,9
192,Et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
193,d',d',1,Pre,Pre,de,C/\,ADP,de,10
194,autre,autre,1,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
195,part,part,1,N,N,,C/V\,NOUN,part,3
196,je,je,1,Prn,Prn$,je,C/(e)\,PRON,je,10
197,cuide,cuide,1,Vfin,Vfin,cuider,'C/V\.C/(e)\,VERB,cuider,10
198,qu',qu',1,Sub,Sub,que,C/\,SCONJ,que,10
199,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
200,soit,soit,1,Vfin,Vfin,être,C/V\,VERB,être,10
201,aujourduy,aujourduy,1,Adv,Adv,aujourd'hui,/V\.C/V\.'C/V\,ADV,aujourd'hui,10
202,autant,autant,1,Adv,Adv,autant,/V\.'C/V\,ADV,autant,10
203,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
204,bien,bien,1,Adv,Adv,bien,C/V\,ADV,bien,10
205,entendans,entendans,1,Vprs,Vprs,entendre,/V\.C/V\.'C/V\,VERB,entendre,10
206,ou,ou,1,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
207,mestier,mestier,1,N,N,,C/V\.'C/V\,NOUN,métier,8
208,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
209,trouver,trouver,1,Vinf,Vinf,trouver,C/V\.'C/V\,VERB,trouver,10
210,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
211,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
212,diter,diter,1,Vinf,Vinf,,C/V\.'C/V\,VERB,diter,9
213,qu',qu',1,Sub,Sub,que,C/\,SCONJ,que,10
214,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
215,fu,fu,1,Vfin,Vfin,être,C/V\,VERB,être,10
216,oncques,oncques,1,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10
217,",",",",1,Pnc,Pnc,,,PUNCT,",",9
218,se,se,1,Sub,Sub,si3,C/(e)\,SCONJ,si,10
219,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
220,estoient,estoient,1,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10
221,pourveü,pourveü,1,Vpp,Vpp,pourvoir,C/V\.C/(V)\.'/V\,VERB,pourvoir,10
222,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
223,leur,leur,1,Det,Det,leur2,C/V\,DET,leur,10
224,vivre,vivre,1,Vinf,Vinf,vivre,'C/V\.C/(e)\,VERB,vivre,10
225,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
226,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
227,leur,leur,1,Det,Det,leur2,C/V\,DET,leur,10
228,soustenance,soustenance,1,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,soutenance,9
229,",",",",1,Pnc,Pnc,,,PUNCT,",",9
230,ainsi,ainsi,1,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
231,comme,comme,1,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
232,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
233,estoient,estoient,1,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10
234,jadiz,jadiz,1,Adv,Adv,jadis,C/V\.'C/V\,ADV,jadis,10
235,.,.,1,Pnc,Pnc,,,PUNCT,.,9
236,Car,car,1,Crd,Crd,car,C/V\,CCONJ,car,10
237,adonques,adonques,1,Adv,Adv,adonc,/V\.'C/V\.C/e\,ADV,adonc,10
238,les,les,1,Det,Det,le,C/V\,DET,le,10
239,roys,roys,1,N,N,,C/V\,NOUN,roi,8
240,",",",",1,Pnc,Pnc,,,PUNCT,",",9
241,ducs,ducs,1,N,N,,C/V\,NOUN,duc,9
242,",",",",1,Pnc,Pnc,,,PUNCT,",",9
243,princes,princes,1,N,N,,'C/V\.C/e\,NOUN,prince,8
244,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
245,autres,autres,1,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10
246,grans,grans,1,Adj,Adj,grand,C/V\,ADJ,grand,10
247,seigneurs,seigneurs,1,N,N,,C/V\.'C/V\,NOUN,seigneur,8
248,tenoient,tenoient,1,Vfin,Vfin,tenir,C/V\.'C/V\./e\,VERB,tenir,10
249,avecques,avecques,1,PrA,PrA,avec,/V\.'C/V\.C/e\,ADP,avec,10
250,eulx,eulx,1,Prn,Prn,eux,/V\,PRON,eux,10
251,les,les,1,Det,Det,le,C/V\,DET,le,10
252,bons,bons,1,Adj,Adj,bon,C/V\,ADJ,bon,10
253,menestereulx,menestereulx,1,N,N,,C/V\.C/V\.C/e\.'C/V\,NOUN,ménestrel,9
254,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
255,estoient,estoient,1,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10
256,honnourez,honnourez,1,Vpp,Vpp,honorer,/V\.C/V\.'C/V\,VERB,honorer,10
257,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
258,deportez,deportez,1,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,déporter,9
259,plus,plus,1,Adv,Adv,plus,C/V\,ADV,plus,10
260,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
261,nulle,nulle,1,QIs,QIs,nul,'C/V\.C/(e)\,DET,nul,10
262,autre,autre,1,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
263,gent,gent,1,N,N,,C/V\,NOUN,gent,8
264,",",",",1,Pnc,Pnc,,,PUNCT,",",9
265,ne,ne,1,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
266,il,il,1,Prn,Prn$,il,/V\,PRON,il,10
267,n',n',1,Neg,Neg$$,ne,C/\,ADV,ne,10
268,avoient,avoient,1,Vfin,Vfin,avoir,/V\.'C/V\./e\,VERB,avoir,10
269,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
270,riens,riens,1,N,N,rien,C/V\,PROPN|NOUN,rien,10
271,a,a,1,Pre,Pre,à,/V\,ADP,à,10
272,besongner,besongner,1,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,besogner,8
273,",",",",1,Pnc,Pnc,,,PUNCT,",",9
274,fors,fors,1,PrA,PrA,hors,C/V\,ADV,hors,10
275,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
276,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
277,faire,faire,1,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
278,aucune,aucune,1,QIs,QIs,aucun,/V\.'C/V\.C/(e)\,DET,aucun,10
279,belle,belle,1,Adj,Adj,beau,'C/V\.C/(e)\,ADJ,beau,10
280,chose,chose,1,N,N,,'C/V\.C/(e)\,NOUN,chose,8
281,qui,qui,1,Qux,Qux,qui,C/V\,PRON,qui,10
282,peüst,peust,1,Vfin,Vfin,pouvoir2,C/(V)\.'/V\,VERB,pouvoir,10
283,plaire,plaire,1,Vinf,Vinf,plaire,'C/V\.C/(e)\,VERB,plaire,10
284,pour,pour,1,Pre,Pre,pour,C/V\,ADP,pour,10
285,leur,leur,1,Det,Det,leur2,C/V\,DET,leur,10
286,seigneur,seigneur,1,N,N,,C/V\.'C/V\,NOUN,seigneur,8
287,tenir,tenir,1,Vinf,Vinf,tenir,C/V\.'C/V\,VERB,tenir,10
288,a,a,1,Pre,Pre,à,/V\,ADP,à,10
289,amour,amour,1,N,N,,/V\.'C/V\,NOUN,amour,8
290,.,.,1,Pnc,Pnc,,,PUNCT,.,9
291,Et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
292,ce,ce,1,Prn,Prn,ce,C/(e)\,PRON,ce,10
293,estoit,estoit,1,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
294,beaux,beaux,1,Adj,Adj,beau,C/V\,ADJ,beau,10
295,avantages,avantages,1,N,N,,/V\.C/V\.'C/V\.C/e\,NOUN,avantage,9
296,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
297,bien,bien,1,Adv,Adv,bien,C/V\,ADV,bien,10
298,trouver,trouver,1,Vinf,Vinf,trouver,C/V\.'C/V\,VERB,trouver,10
299,",",",",1,Pnc,Pnc,,,PUNCT,",",9
300,mais,mais,1,Crd,Crd,mais,C/V\,CCONJ,mais,10
301,aujourdui,aujourdui,1,Adv,Adv,aujourd'hui,/V\.C/V\.'C/V\,ADV,aujourd'hui,10
302,est,est,1,Vfin,Vfin,être,/V\,VERB,être,10
303,joye,joye,1,N,N,,'C/V\./(e)\,NOUN,joie,8
304,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
305,courtoisie,courtoisie,1,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,courtoisie,8
306,si,si,1,Adv,Adv,si4,C/V\,ADV,si,10
307,perie,perie,1,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,périr,9
308,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
309,destruitte,destruitte,1,Vpp,Vpp,détruire,C/V\.'C/V\.C/(e)\,VERB,détruire,10
310,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
311,trop,trop,1,Adv,Adv,trop,C/V\,ADV,trop,10
312,petit,petit,1,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
313,y,y,1,Prn,Prn$$,y2,/V\,PRON,y,10
314,acompte,acompte,1,Vfin,Vfin,,/V\.'C/V\.C/(e)\,VERB,acompter,5
315,l',l',1,Det,Det,le,C/\,DET,le,10
316,en,en,1,Prn,Prn,on,/V\,PRON,on,10
317,",",",",1,Pnc,Pnc,,,PUNCT,",",9
318,si,si,1,Adv,Adv,si4,C/V\,ADV,si,10
319,que,que,1,Sub,Sub,que,C/(e)\,SCONJ,que,10
320,chascuns,chascuns,1,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10
321,est,est,1,Vfin,Vfin,être,/V\,VERB,être,10
322,tous,tous,1,QIs,QIs,tout,C/V\,ADV,tout,10
323,essonniez,essonniez,1,Vpp,Vpp,,/V\.C/V\.C/<V>\.'/V\,VERB,essoiner,5
324,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
325,vivre,vivre,1,Vinf,Vinf,vivre,'C/V\.C/(e)\,VERB,vivre,10
326,;,;,1,Pnc,Pnc,,,PUNCT,;,9
327,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
328,ce,ce,1,Prn,Prn,ce,C/(e)\,PRON,ce,10
329,toult,toult,1,Vfin,Vfin,tolir,C/V\,VERB,tolir,10
330,aux,aux,1,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
331,bons,bons,1,Adj,Adj,bon,C/V\,ADJ,bon,10
332,entendeurs,entendeurs,1,N,N,,/V\.C/V\.'C/V\,NOUN,entendeur,9
333,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
334,faire,faire,1,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
335,aucune,aucune,1,QIs,QIs,aucun,/V\.'C/V\.C/(e)\,DET,aucun,10
336,bonne,bonne,1,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10
337,chose,chose,1,N,N,,'C/V\.C/(e)\,NOUN,chose,8
338,.,.,1,Pnc,Pnc,,,PUNCT,.,9
339,Et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
340,se,se,1,Sub,Sub,si3,C/(e)\,SCONJ,si,10
341,ainsi,ainsi,1,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
342,estoit,estoit,1,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
343,chose,chose,1,N,N,,'C/V\.C/(e)\,NOUN,chose,8
344,qu',qu',1,Sub,Sub,que,C/\,SCONJ,que,10
345,ilz,ilz,1,Prn,Prn$,il,/V\,PRON,il,10
346,se,se,1,Prn,Prn$$,se,C/(e)\,PRON,se,10
347,voulsissent,voulsissent,1,Vfin,Vfin,vouloir,C/V\.'C/V\.C/e\,VERB,vouloir,10
348,traveillier,traveillier,1,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,travailler,9
349,au,au,1,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
350,faire,faire,1,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
351,",",",",1,Pnc,Pnc,,,PUNCT,",",9
352,si,si,1,Adv,Adv,si4,C/V\,ADV,si,10
353,seroit,seroit,1,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
354,il,il,1,Prn,Prn%,il,/V\,PRON,il,10
355,trop,trop,1,Adv,Adv,trop,C/V\,ADV,trop,10
356,pou,pou,1,N,N,peu,C/V\,PROPN|NOUN,peu,10
357,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
358,mencion,mencion,1,N,N,,C/V\.C/{V}\.'/V\,NOUN,mention,3
359,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
360,ce,ce,1,Prn,Prn,ce,C/(e)\,PRON,ce,10
361,qu',qu',1,Qux,Qux,que,C/\,PRON,que,10
362,ilz,ilz,1,Prn,Prn$,il,/V\,PRON,il,10
363,feroient,feroient,1,Vfin,Vfin,faire,C/V\.'C/V\./e\,VERB,faire,10
364,pour,pour,1,Pre,Pre,pour,C/V\,ADP,pour,10
365,leur,leur,1,Det,Det,leur2,C/V\,DET,leur,10
366,bas,bas,1,Adj,Adj,,C/V\,ADJ,bas,8
367,estat,estat,1,N,N,,/V\.'C/V\,NOUN,état,8
368,;,;,1,Pnc,Pnc,,,PUNCT,;,9
369,car,car,1,Crd,Crd,car,C/V\,CCONJ,car,10
370,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
