wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref,pos,lemma_ofl,lemma_score
1,1,1,quant,quant,1001,Sub,Sub,quand,7s,---,C/V\,"GaceBrulé, chanson 10, v. 1",SCONJ,quand,10
2,1,2,nois,nois,1001,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 1",NOUN,noif,3
3,1,3,et,et,1001,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 1",CCONJ,et,10
4,1,4,giaus,giaus,1001,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 1",NOUN,gel,0
5,1,5,et,et,1001,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 1",CCONJ,et,10
6,1,6,froidure,froidure,1001,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 1",NOUN,froidure,8
7,2,1,remaint,remaint,1002,Vfin,Vfin,remanoir,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 2",VERB,remanoir,10
8,2,2,od,od,1002,Pre,Pre,o,7s,---,/V\,"GaceBrulé, chanson 10, v. 2",ADP,o,10
9,2,3,le,le,1002,Det,Det,le,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 2",DET,le,10
10,2,4,tanz,tanz,1002,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 2",PROPN|NOUN,tant,3
11,2,5,felon,felon,1002,Adj,Adj,félon,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 2",ADJ,félon,10
12,2,6,",",",",1002,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 2",PUNCT,",",9
13,3,1,que,que,1003,Sub,Sub,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 3",SCONJ,que,10
14,3,2,flours,flours,1003,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 3",NOUN,fleur,8
15,3,3,et,et,1003,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 3",CCONJ,et,10
16,3,4,fueille,fueille,1003,N,N,,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 3",NOUN,feuille,8
17,3,5,et,et,1003,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 3",CCONJ,et,10
18,3,6,verdure,verdure,1003,N,N,,7s,---,C/e\.'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 3",NOUN,verdure,8
19,4,1,vient,vient,1004,Vfin,Vfin,venir,7s,---,C/V\,"GaceBrulé, chanson 10, v. 4",VERB,venir,10
20,4,2,od,od,1004,Pre,Pre,o,7s,---,/V\,"GaceBrulé, chanson 10, v. 4",ADP,o,10
21,4,3,la,la,1004,Det,Det,le,7s,---,C/V\,"GaceBrulé, chanson 10, v. 4",DET,le,10
22,4,4,bele,bele,1004,Adj,Adj,beau,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 4",ADJ,beau,10
23,4,5,saison,saison,1004,N,N,,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 4",NOUN,saison,8
24,4,6,",",",",1004,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 4",PUNCT,",",9
25,5,1,lors,lors,1005,Adv,Adv,lors,7s,---,C/V\,"GaceBrulé, chanson 10, v. 5",ADV,lors,10
26,5,2,chant,chant,1005,Vfin,Vfin,chanter,7s,---,C/V\,"GaceBrulé, chanson 10, v. 5",VERB,chanter,10
27,5,3,sanz,sanz,1005,Pre,Pre,sans,7s,---,C/V\,"GaceBrulé, chanson 10, v. 5",ADP,sans,10
28,5,4,envoiseure,envoiseure,1005,N,N,,7s,---,/V\.C/V\.C/(V)\.'/V\.C/(e)\,"GaceBrulé, chanson 10, v. 5",NOUN,envoisure,8
29,5,5,",",",",1005,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 5",PUNCT,",",9
30,6,1,dont,dont,1006,Qux,Qux,dont,7s,---,C/V\,"GaceBrulé, chanson 10, v. 6",PRON,dont,10
31,6,2,j',j',1006,Prn,Prn$,je,7s,---,C/\,"GaceBrulé, chanson 10, v. 6",PRON,je,10
32,6,3,ai,ai,1006,Vfin,Vfin,avoir,7s,---,/V\,"GaceBrulé, chanson 10, v. 6",VERB,avoir,10
33,6,4,si,si,1006,Adv,Adv,si,7s,---,C/V\,"GaceBrulé, chanson 10, v. 6",ADV,si,10
34,6,5,droite,droite,1006,Adj,Adj,droit,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 6",ADJ,droit,10
35,6,6,ochoison,ochoison,1006,N,N,,7s,---,/V\.C/V\.'C/V\,"GaceBrulé, chanson 10, v. 6",NOUN,ochaison,3
36,6,7,;,;,1006,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 6",PUNCT,;,3
37,7,1,que,que,1007,Sub,Sub,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 7",SCONJ,que,10
38,7,2,j',j',1007,Prn,Prn$,je,7s,---,C/\,"GaceBrulé, chanson 10, v. 7",PRON,je,10
39,7,3,aim,aim,1007,Vfin,Vfin,aimer,7s,---,/V\,"GaceBrulé, chanson 10, v. 7",VERB,aimer,10
40,7,4,d',d',1007,Pre,Pre,de,7s,---,C/\,"GaceBrulé, chanson 10, v. 7",ADP,de,10
41,7,5,amour,amour,1007,N,N,,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 7",NOUN,amour,8
42,7,6,qui,qui,1007,Qux,Qux,qui,7s,---,C/V\,"GaceBrulé, chanson 10, v. 7",PRON,qui,10
43,7,7,trop,trop,1007,Adv,Adv,trop,7s,---,C/V\,"GaceBrulé, chanson 10, v. 7",ADV,trop,10
44,7,8,dure,dure,1007,Vfin,Vfin,durer,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 7",VERB,durer,10
45,8,1,sans,sans,1008,Pre,Pre,sans,7s,---,C/V\,"GaceBrulé, chanson 10, v. 8",ADP,sans,10
46,8,2,gré,gré,1008,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 8",NOUN,malgré,3
47,8,3,et,et,1008,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 8",CCONJ,et,10
48,8,4,sanz,sanz,1008,Pre,Pre,sans,7s,---,C/V\,"GaceBrulé, chanson 10, v. 8",ADP,sans,10
49,8,5,guerredon,guerredon,1008,N,N,,7s,---,C/V\.C/e\.'C/V\,"GaceBrulé, chanson 10, v. 8",NOUN,guerdon,8
50,8,6,.,.,1008,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 8",PUNCT,.,9
51,9,1,mout,mout,1009,QIs,QIs,moult,7s,---,C/V\,"GaceBrulé, chanson 10, v. 9",ADV,moult,10
52,9,2,fu,fu,1009,Vfin,Vfin,être,7s,---,C/V\,"GaceBrulé, chanson 10, v. 9",VERB,être,10
53,9,3,de,de,1009,Pre,Pre,de,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 9",ADP,de,10
54,9,4,cruel,cruel,1009,Adj,Adj,,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 9",ADJ,cruel,9
55,9,5,nature,nature,1009,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 9",NOUN,nature,8
56,10,1,qui,qui,1010,Qux,Qux,qui,7s,---,C/V\,"GaceBrulé, chanson 10, v. 10",PRON,qui,10
57,10,2,amour,amour,1010,N,N,,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 10",NOUN,amour,8
58,10,3,fist,fist,1010,Vfin,Vfin,faire,7s,---,C/V\,"GaceBrulé, chanson 10, v. 10",VERB,faire,10
59,10,4,sanz,sanz,1010,Pre,Pre,sans,7s,---,C/V\,"GaceBrulé, chanson 10, v. 10",ADP,sans,10
60,10,5,reson,reson,1010,N,N,,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 10",NOUN,raison,3
61,10,6,;,;,1010,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 10",PUNCT,;,3
62,11,1,qu',qu',1011,Sub,Sub,que,7s,---,C/\,"GaceBrulé, chanson 10, v. 11",SCONJ,que,10
63,11,2,en,en,1011,Pre,Pre,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 11",ADP,en,10
64,11,3,li,li,1011,Prn,Prn,li,7s,---,C/V\,"GaceBrulé, chanson 10, v. 11",PRON,li,10
65,11,4,ai,ai,1011,Vfin,Vfin,avoir,7s,---,/V\,"GaceBrulé, chanson 10, v. 11",VERB,avoir,10
66,11,5,mise,mise,1011,Vpp,Vpp,mettre,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 11",VERB,mettre,10
67,11,6,ma,ma,1011,Det,Det,mon,7s,---,C/V\,"GaceBrulé, chanson 10, v. 11",DET,mon,10
68,11,7,cure,cure,1011,N,N,,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 11",NOUN,cure,3
69,12,1,et,et,1012,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 12",CCONJ,et,10
70,12,2,toute,toute,1012,QIs,QIs,tout,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 12",DET,tout,10
71,12,3,m',m',1012,Det,Det,mon,7s,---,C/\,"GaceBrulé, chanson 10, v. 12",DET,mon,10
72,12,4,entention,entention,1012,N,N,,7s,---,/V\.C/V\.C/V\.'C/V\,"GaceBrulé, chanson 10, v. 12",NOUN,entention,3
73,12,5,.,.,1012,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 12",PUNCT,.,9
74,13,1,maiz,maiz,1013,Crd,Crd,mais,7s,---,C/V\,"GaceBrulé, chanson 10, v. 13",CCONJ,mais,10
75,13,2,loiautez,loiautez,1013,N,N,,7s,---,C/V\.C/V\.'C/V\,"GaceBrulé, chanson 10, v. 13",NOUN,loyauté,8
76,13,3,et,et,1013,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 13",CCONJ,et,10
77,13,4,droiture,droiture,1013,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 13",NOUN,droiture,8
78,14,1,ne,ne,1014,Neg,Neg,ne,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 14",ADV,ne,10
79,14,2,m',m',1014,Prn,Prn$$,me,7s,---,C/\,"GaceBrulé, chanson 10, v. 14",PRON,me,10
80,14,3,i,i,1014,Prn,Prn$$,y,7s,---,/V\,"GaceBrulé, chanson 10, v. 14",PRON,y,10
81,14,4,font,font,1014,Vfin,Vfin,faire,7s,---,C/V\,"GaceBrulé, chanson 10, v. 14",VERB,faire,10
82,14,5,se,se,1014,Sub,Sub,si3,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 14",SCONJ,si,10
83,14,6,nuire,nuire,1014,Vinf,Vinf,nuire,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 14",VERB,nuire,10
84,14,7,non,non,1014,NVP,NVP,non,7s,---,C/V\,"GaceBrulé, chanson 10, v. 14",ADV,non,10
85,14,8,;,;,1014,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 14",PUNCT,;,3
86,15,1,bien,bien,1015,Adv,Adv,bien,7s,---,C/V\,"GaceBrulé, chanson 10, v. 15",ADV,bien,10
87,15,2,est,est,1015,Vfin,Vfin,être,7s,---,/V\,"GaceBrulé, chanson 10, v. 15",VERB,être,10
88,15,3,folz,folz,1015,Adj,Adj,fou,7s,---,C/V\,"GaceBrulé, chanson 10, v. 15",ADJ,fou,10
89,15,4,qui,qui,1015,Qux,Qux,qui,7s,---,C/V\,"GaceBrulé, chanson 10, v. 15",PRON,qui,10
90,15,5,s',s',1015,Prn,Prn$$,se,7s,---,C/\,"GaceBrulé, chanson 10, v. 15",PRON,se,10
91,15,6,asseure,asseure,1015,Vfin,Vfin,assurer,7s,---,/V\.C/(V)\.'/V\.C/(e)\,"GaceBrulé, chanson 10, v. 15",VERB,assurer,10
92,16,1,en,en,1016,Pre,Pre,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 16",ADP,en,10
93,16,2,li,li,1016,Prn,Prn,li,7s,---,C/V\,"GaceBrulé, chanson 10, v. 16",PRON,li,10
94,16,3,ne,ne,1016,Crd,Crd,ne2,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 16",CCONJ,ne,10
95,16,4,en,en,1016,Pre,Pre,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 16",ADP,en,10
96,16,5,son,son,1016,Det,Det,son,7s,---,C/V\,"GaceBrulé, chanson 10, v. 16",DET,son,10
97,16,6,douz,douz,1016,Adj,Adj,doux,7s,---,C/V\,"GaceBrulé, chanson 10, v. 16",ADJ,doux,10
98,16,7,non,non,1016,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 16",NOUN,nom,8
99,16,8,.,.,1016,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 16",PUNCT,.,9
100,17,1,conment,conment,1017,Qux,Qux,comment,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 17",ADV,comment,10
101,17,2,que,que,1017,Sub,Sub,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 17",SCONJ,que,10
102,17,3,joir,joir,1017,Vinf,Vinf,jouir,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 17",VERB,jouir,10
103,17,4,en,en,1017,Prn,Prn$$,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 17",PRON,en,10
104,17,5,doie,doie,1017,Vfin,Vfin,devoir,7s,---,'C/V\./(e)\,"GaceBrulé, chanson 10, v. 17",VERB,devoir,10
105,17,6,",",",",1017,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 17",PUNCT,",",9
106,18,1,lonc,lonc,1018,Adj,Adj,long,7s,---,C/V\,"GaceBrulé, chanson 10, v. 18",ADJ,long,10
107,18,2,tanz,tanz,1018,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 18",PROPN|NOUN,tant,3
108,18,3,m',m',1018,Prn,Prn$$,me,7s,---,C/\,"GaceBrulé, chanson 10, v. 18",PRON,me,10
109,18,4,a,a,1018,Vfin,Vfin,avoir,7s,---,/V\,"GaceBrulé, chanson 10, v. 18",VERB,avoir,10
110,18,5,amours,amours,1018,N,N,,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 18",NOUN,amour,8
111,18,6,grevé,grevé,1018,Vpp,Vpp,grever,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 18",VERB,grever,10
112,18,7,;,;,1018,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 18",PUNCT,;,3
113,19,1,si,si,1019,Adv,Adv,si,7s,---,C/V\,"GaceBrulé, chanson 10, v. 19",ADV,si,10
114,19,2,ne,ne,1019,Neg,Neg,ne,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 19",ADV,ne,10
115,19,3,sai,sai,1019,Vfin,Vfin,savoir,7s,---,C/V\,"GaceBrulé, chanson 10, v. 19",VERB,savoir,10
116,19,4,",",",",1019,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 19",PUNCT,",",9
117,19,5,se,se,1019,Sub,Sub,si3,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 19",SCONJ,si,10
118,19,6,diex,diex,1019,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 19",NOUN,dieu,8
119,19,7,me,me,1019,Prn,Prn$$,me,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 19",PRON,me,10
120,19,8,voie,voie,1019,Vfin,Vfin,voir,7s,---,'C/V\./(e)\,"GaceBrulé, chanson 10, v. 19",VERB,voir,10
121,19,9,",",",",1019,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 19",PUNCT,",",9
122,20,1,se,se,1020,Sub,Sub,si3,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 20",SCONJ,si,10
123,20,2,j',j',1020,Prn,Prn$,je,7s,---,C/\,"GaceBrulé, chanson 10, v. 20",PRON,je,10
124,20,3,ai,ai,1020,Vfin,Vfin,avoir,7s,---,/V\,"GaceBrulé, chanson 10, v. 20",VERB,avoir,10
125,20,4,plus,plus,1020,Adv,Adv,plus,7s,---,C/V\,"GaceBrulé, chanson 10, v. 20",ADV,plus,10
126,20,5,que,que,1020,Sub,Sub,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 20",SCONJ,que,10
127,20,6,nus,nus,1020,QIs,QIs,nul,7s,---,C/V\,"GaceBrulé, chanson 10, v. 20",PRON,nul,10
128,20,7,amé,amé,1020,Vpp,Vpp,aimer,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 20",VERB,aimer,10
129,20,8,.,.,1020,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 20",PUNCT,.,9
130,21,1,chascuns,chascuns,1021,QIs,QIs,chacun,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 21",PRON,chacun,10
131,21,2,jure,jure,1021,Vfin,Vfin,jurer,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 21",VERB,jurer,10
132,21,3,et,et,1021,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 21",CCONJ,et,10
133,21,4,se,se,1021,Prn,Prn$$,se,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 21",PRON,se,10
134,21,5,desloie,desloie,1021,Vfin,Vfin,délier,7s,---,C/V\.'C/V\./(e)\,"GaceBrulé, chanson 10, v. 21",VERB,délier,10
135,22,1,qu',qu',1022,Sub,Sub,que,7s,---,C/\,"GaceBrulé, chanson 10, v. 22",SCONJ,que,10
136,22,2,amours,amours,1022,N,N,,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 22",NOUN,amour,8
137,22,3,l',l',1022,Prn,Prn$$,le,7s,---,C/\,"GaceBrulé, chanson 10, v. 22",PRON,le,10
138,22,4,ont,ont,1022,Vfin,Vfin,avoir,7s,---,/V\,"GaceBrulé, chanson 10, v. 22",VERB,avoir,10
139,22,5,trop,trop,1022,Adv,Adv,trop,7s,---,C/V\,"GaceBrulé, chanson 10, v. 22",ADV,trop,10
140,22,6,mal,mal,1022,Adv,Adv,mal,7s,---,C/V\,"GaceBrulé, chanson 10, v. 22",ADV,mal,10
141,22,7,mené,mené,1022,Vpp,Vpp,mener,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 22",VERB,mener,10
142,22,8,;,;,1022,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 22",PUNCT,;,3
143,23,1,maiz,maiz,1023,Crd,Crd,mais,7s,---,C/V\,"GaceBrulé, chanson 10, v. 23",CCONJ,mais,10
144,23,2,pour,pour,1023,Pre,Pre,pour,7s,---,C/V\,"GaceBrulé, chanson 10, v. 23",ADP,pour,10
145,23,3,rienz,rienz,1023,N,N,rien,7s,---,C/V\,"GaceBrulé, chanson 10, v. 23",PROPN|NOUN,rien,10
146,23,4,n',n',1023,Neg,Neg,ne,7s,---,C/\,"GaceBrulé, chanson 10, v. 23",ADV,ne,10
147,23,5,en,en,1023,Prn,Prn$$,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 23",PRON,en,10
148,23,6,mentiroie,mentiroie,1023,Vfin,Vfin,mentir,7s,---,C/V\.C/V\.'C/V\./(e)\,"GaceBrulé, chanson 10, v. 23",VERB,mentir,10
149,23,7,",",",",1023,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 23",PUNCT,",",9
150,24,1,que,que,1024,Qux,Qux,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 24",PRON,que,10
151,24,2,que,que,1024,Qux,Qux,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 24",PRON,que,10
152,24,3,m',m',1024,Prn,Prn$$,me,7s,---,C/\,"GaceBrulé, chanson 10, v. 24",PRON,me,10
153,24,4,en,en,1024,Prn,Prn$$,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 24",PRON,en,10
154,24,5,ait,ait,1024,Vfin,Vfin,avoir,7s,---,/V\,"GaceBrulé, chanson 10, v. 24",VERB,avoir,10
155,24,6,destiné,destiné,1024,Vpp,Vpp,destiner,7s,---,C/V\.C/V\.'C/V\,"GaceBrulé, chanson 10, v. 24",VERB,destiner,10
156,24,7,.,.,1024,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 24",PUNCT,.,9
157,25,1,de,de,1025,Pre,Pre,de,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 25",ADP,de,10
158,25,2,tant,tant,1025,QIs,QIs,tant,7s,---,C/V\,"GaceBrulé, chanson 10, v. 25",ADV,tant,10
159,25,3,ma,ma,1025,Det,Det,mon,7s,---,C/V\,"GaceBrulé, chanson 10, v. 25",DET,mon,10
160,25,4,dame,dame,1025,N,N,,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 25",NOUN,dame,8
161,25,5,me,me,1025,Prn,Prn$$,me,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 25",PRON,me,10
162,25,6,croie,croie,1025,Vfin,Vfin,croire,7s,---,'C/V\./(e)\,"GaceBrulé, chanson 10, v. 25",VERB,croire,10
163,25,7,",",",",1025,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 25",PUNCT,",",9
164,26,1,si,si,1026,Adv,Adv,si,7s,---,C/V\,"GaceBrulé, chanson 10, v. 26",ADV,si,10
165,26,2,l',l',1026,Prn,Prn$$,le,7s,---,C/\,"GaceBrulé, chanson 10, v. 26",PRON,le,10
166,26,3,en,en,1026,Prn,Prn$$,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 26",PRON,en,10
167,26,4,savroie,savroie,1026,Vfin,Vfin,savoir,7s,---,C/V\.'C/V\./(e)\,"GaceBrulé, chanson 10, v. 26",VERB,savoir,10
168,26,5,bon,bon,1026,Adj,Adj,bon,7s,---,C/V\,"GaceBrulé, chanson 10, v. 26",ADJ,bon,10
169,26,6,gré,gré,1026,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 26",NOUN,malgré,3
170,26,7,",",",",1026,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 26",PUNCT,",",9
171,27,1,s',s',1027,Sub,Sub,si3,7s,---,C/\,"GaceBrulé, chanson 10, v. 27",SCONJ,si,10
172,27,2,a,a,1027,Pre,Pre,à,7s,---,/V\,"GaceBrulé, chanson 10, v. 27",ADP,à,10
173,27,3,son,son,1027,Det,Det,son,7s,---,C/V\,"GaceBrulé, chanson 10, v. 27",DET,son,10
174,27,4,plesir,plesir,1027,N,N,,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 27",PROPN|NOUN,plaisir,5
175,27,5,estoit,estoit,1027,Vfin,Vfin,être,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 27",VERB,être,10
176,27,6,moie,moie,1027,Adj,Adj,mien,7s,---,'C/V\./(e)\,"GaceBrulé, chanson 10, v. 27",ADJ,mien,10
177,27,7,",",",",1027,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 27",PUNCT,",",9
178,28,1,par,par,1028,Pre,Pre,par,7s,---,C/V\,"GaceBrulé, chanson 10, v. 28",ADP,par,10
179,28,2,la,la,1028,Det,Det,le,7s,---,C/V\,"GaceBrulé, chanson 10, v. 28",DET,le,10
180,28,3,foi,foi,1028,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 28",NOUN,foi,8
181,28,4,que,que,1028,Qux,Qux,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 28",PRON,que,10
182,28,5,je,je,1028,Prn,Prn$,je,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 28",PRON,je,10
183,28,6,doi,doi,1028,Vfin,Vfin,devoir,7s,---,C/V\,"GaceBrulé, chanson 10, v. 28",VERB,devoir,10
184,28,7,dé,dé,1028,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 28",NOUN,dé,3
185,28,8,",",",",1028,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 28",PUNCT,",",9
186,29,1,ja,ja,1029,Adv,Adv,jà,7s,---,C/V\,"GaceBrulé, chanson 10, v. 29",ADV,jà,10
187,29,2,si,si,1029,Adv,Adv,si,7s,---,C/V\,"GaceBrulé, chanson 10, v. 29",ADV,si,10
188,29,3,grant,grant,1029,Adj,Adj,grand,7s,---,C/V\,"GaceBrulé, chanson 10, v. 29",ADJ,grand,10
189,29,4,joie,joie,1029,N,N,,7s,---,'C/V\./(e)\,"GaceBrulé, chanson 10, v. 29",NOUN,joie,8
190,29,5,n',n',1029,Neg,Neg,ne,7s,---,C/\,"GaceBrulé, chanson 10, v. 29",ADV,ne,10
191,29,6,avroie,avroie,1029,Vfin,Vfin,avoir,7s,---,/V\.'C/V\./(e)\,"GaceBrulé, chanson 10, v. 29",VERB,avoir,10
192,30,1,d',d',1030,Pre,Pre,de,7s,---,C/\,"GaceBrulé, chanson 10, v. 30",ADP,de,10
193,30,2,autre,autre,1030,Adj,Adj,autre,7s,---,'/V\.C/(e)\,"GaceBrulé, chanson 10, v. 30",ADJ,autre,10
194,30,3,amour,amour,1030,N,N,,7s,---,/V\.'C/V\,"GaceBrulé, chanson 10, v. 30",NOUN,amour,8
195,30,4,en,en,1030,Pre,Pre,en,7s,---,/V\,"GaceBrulé, chanson 10, v. 30",ADP,en,10
196,30,5,mon,mon,1030,Det,Det,mon,7s,---,C/V\,"GaceBrulé, chanson 10, v. 30",DET,mon,10
197,30,6,aé,aé,1030,N,N,,7s,---,/(V)\.'/V\,"GaceBrulé, chanson 10, v. 30",NOUN,aé,8
198,30,7,;,;,1030,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 30",PUNCT,;,3
199,31,1,n',n',1031,Neg,Neg,ne,7s,---,C/\,"GaceBrulé, chanson 10, v. 31",ADV,ne,10
200,31,2,a,a,1031,Pre,Pre,à,7s,---,/V\,"GaceBrulé, chanson 10, v. 31",ADP,à,10
201,31,3,mon,mon,1031,Det,Det,mon,7s,---,C/V\,"GaceBrulé, chanson 10, v. 31",DET,mon,10
202,31,4,tort,tort,1031,N,N,,7s,---,C/V\,"GaceBrulé, chanson 10, v. 31",NOUN,tort,8
203,31,5,ne,ne,1031,Neg,Neg,ne,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 31",ADV,ne,10
204,31,6,leisseroie,leisseroie,1031,Vfin,Vfin,laisser,7s,---,C/V\.C/e\.'C/V\./(e)\,"GaceBrulé, chanson 10, v. 31",VERB,laisser,10
205,32,1,a,a,1032,Pre,Pre,à,7s,---,/V\,"GaceBrulé, chanson 10, v. 32",ADP,à,10
206,32,2,fere,fere,1032,Vinf,Vinf,faire,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 32",VERB,faire,10
207,32,3,sa,sa,1032,Det,Det,son,7s,---,C/V\,"GaceBrulé, chanson 10, v. 32",DET,son,10
208,32,4,volenté,volenté,1032,N,N,,7s,---,C/V\.C/V\.'C/V\,"GaceBrulé, chanson 10, v. 32",NOUN,volonté,8
209,32,5,.,.,1032,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 32",PUNCT,.,9
210,33,1,dame,dame,1033,N,N,,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 33",NOUN,dame,8
211,33,2,",",",",1033,Pnc,Pnc,,7s,---,,"GaceBrulé, chanson 10, v. 33",PUNCT,",",9
